code,name,region,num_inhabitants,municip499,municip500_1999,municip2000_9999,municip10000,num_cities,urban_ratio,avg_salary,unemp_rate95,unemp_rate96,num_entrepreneurs,num_crimes95,num_crimes96,num_crimes95_ratio,num_crimes96_ratio
1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167.0,85677.0,99107.0,71.10401816502386,82.24968110789384
2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132.0,2159.0,2674.0,24.29008595472751,30.084154628504567
3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111.0,2824.0,2813.0,37.537218205019144,37.39100382815823
4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109.0,5244.0,5892.0,34.9849559352338,39.30803973501097
5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118.0,2616.0,3040.0,27.359437751004016,31.79384203480589
6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126.0,2640.0,3120.0,33.862216692533636,40.01898336390339
7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130.0,4289.0,4846.0,45.27843758247559,51.15861704935339
8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127.0,5179.0,4987.0,46.21425065810021,44.50095926471244
9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149.0,2987.0,2487.0,36.72059402045633,30.573859166011015
10,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141.0,3810.0,4316.0,41.37526606142218,46.87024890317536
11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154.0,3475.0,3529.0,45.94312307468567,46.65705937570237
12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137.0,3804.0,3868.0,35.26467043663669,35.857977194771486
13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123.0,1597.0,1875.0,29.617403238070512,34.77309397080915
14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135.0,6604.0,6295.0,37.16668730231982,35.42766453181455
15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124.0,1845.0,1879.0,31.37968569290428,31.957956323559426
16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107.0,1874.0,1913.0,19.950814959917388,20.366013350225167
17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119.0,1003.0,1181.0,13.542707461316194,15.94609921417191
18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131.0,1740.0,1910.0,24.611380641876124,27.015940819530687
19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120.0,999.0,1099.0,19.425215835731507,21.369681885354282
20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120.0,1563.0,1542.0,22.12439487019789,21.827138125300795
