Id,Predicted
5895,0.08
7122,0.99
6173,0.49
6142,0.07
5358,0.48
6095,0.18
6878,0.03
6554,0.08
6793,0.14
7286,0.49
6076,0.06
5134,0.25
5419,0.4
6255,0.34
5656,0.11
6934,0.07
6028,0.52
6490,0.02
6415,0.05
7087,0.08
5420,0.23
5977,0.02
6824,0.79
5207,0.05
7115,0.1
7250,0.14
6010,0.23
6088,0.48
5682,0.28
7201,0.24
6938,0.27
6875,0.09
5953,0.09
5942,0.06
5382,0.01
6377,0.03
5931,0.14
5992,0.55
5790,0.31
6753,0.42
6562,0.17
7046,0.11
5868,0.04
5784,0.07
5878,0.53
5110,0.1
5210,0.21
7230,0.0
5005,0.34
6871,0.01
5363,0.79
7253,0.12
6055,0.2
5072,0.33
6913,0.19
6386,0.45
5634,0.17
5758,0.14
6819,0.13
7088,0.1
5039,0.3
5532,0.37
6037,0.05
6322,0.18
6887,0.08
6660,0.36
5451,0.08
6014,0.04
5556,0.41
6346,0.1
5850,0.37
5940,0.26
7119,0.23
5253,0.49
6851,0.97
6695,0.02
6908,0.12
7255,0.11
5674,0.14
6278,0.06
5486,0.17
5174,0.65
6621,0.08
6313,0.03
6435,0.19
6970,0.1
6310,0.18
5932,0.21
6877,0.08
6763,0.57
7085,0.38
7049,0.14
6959,0.77
5214,0.81
6350,0.22
5063,0.84
5041,0.18
5086,0.14
6942,0.0
5270,0.15
6705,0.35
7051,0.04
6758,0.09
6249,0.15
5808,0.0
5377,0.54
5446,0.29
5856,0.78
4986,0.08
7001,0.25
6677,0.48
6665,0.1
5817,0.85
6984,0.06
6541,0.07
5117,0.44
6097,0.03
5389,0.03
7219,0.03
6338,0.18
6922,0.74
5367,0.75
5638,0.38
5830,0.28
5338,0.8
6007,0.43
6612,0.04
5718,0.06
6104,0.11
5229,0.08
6625,0.64
5206,0.47
5963,0.08
4990,0.06
6641,0.07
5369,0.03
6196,0.3
5236,0.4
5719,0.49
5643,0.37
7050,0.38
6355,0.78
6688,0.03
6239,0.47
5531,0.06
6113,0.1
7181,0.21
6118,0.39
7264,0.2
5343,0.08
5051,0.21
5779,0.08
6605,0.33
6655,0.28
6534,0.37
5681,0.25
6607,0.15
6242,0.06
7242,0.41
7277,0.2
6675,0.19
5398,0.04
5956,0.06
5731,0.6
6956,0.56
6437,0.59
5447,0.81
5973,0.0
6075,0.95
5281,0.41
5103,0.01
6468,0.07
7209,0.59
5584,0.03
4988,0.68
6502,0.2
5651,0.03
4962,0.2
5862,0.09
7199,0.04
6727,0.09
7279,0.16
6544,0.25
5933,0.09
6574,0.15
6399,0.01
7187,0.06
6353,0.05
5043,0.22
5469,0.31
5976,0.45
6059,0.2
5799,0.37
6147,0.48
6254,0.39
7100,0.29
7147,0.4
5909,0.09
7037,0.34
5782,0.28
6237,0.81
6552,0.04
7067,0.06
5320,0.43
5930,0.36
6486,0.1
5245,0.05
6643,0.04
5260,0.03
5569,0.38
7110,0.13
7139,0.0
6791,0.02
5360,0.04
5287,0.28
6553,0.06
7072,0.02
6044,0.38
5332,0.05
6866,0.23
6633,0.2
6926,0.04
6442,0.41
5889,0.19
5765,0.25
5124,0.05
5491,0.15
6730,0.22
7151,0.17
5140,0.18
7171,0.13
6568,0.24
6861,0.12
6855,0.0
7129,0.09
5384,0.0
6859,0.17
5772,0.06
5665,0.25
6495,0.16
5061,0.61
6948,0.16
5773,0.1
6052,0.02
6682,0.84
6083,0.11
6962,0.05
5158,0.15
6464,0.05
5172,0.17
5582,0.02
6136,0.07
6235,0.28
6508,0.5
4968,0.47
6632,0.01
7195,0.55
5525,0.08
6320,0.2
6766,0.3
6872,0.4
5906,0.09
7172,0.19
6571,0.15
5616,0.1
6312,0.02
6470,0.51
5147,0.06
5501,0.13
6436,0.53
5699,0.5
5313,0.12
6234,0.02
6569,0.13
7202,0.07
5683,0.08
5034,0.06
5435,0.16
5815,0.02
5589,0.75
6746,0.44
6790,0.04
6857,0.04
6450,0.23
7221,0.5
5527,0.16
5620,0.32
6215,0.07
7167,0.4
5823,0.04
6207,0.09
6932,0.01
5669,0.26
5154,0.08
7168,0.1
5585,0.19
7200,0.17
6539,0.08
5774,0.41
6357,0.11
5042,0.04
5015,0.34
5354,0.21
6054,0.07
7295,0.29
5365,0.55
6755,0.53
5991,0.94
7035,0.24
5893,0.42
7164,0.52
5304,0.27
5561,0.68
5520,0.26
5241,0.15
7096,0.07
6078,0.04
5046,0.03
5334,0.43
6969,0.01
6821,0.06
5760,0.32
5614,0.3
7091,0.07
5698,0.07
5169,0.23
7294,0.1
5318,0.13
5368,0.03
6923,0.02
5463,0.11
5265,0.23
6321,0.06
5226,0.47
6868,0.12
4967,0.95
5293,0.1
5865,0.37
5841,0.02
5526,0.16
6852,0.02
6469,0.13
6168,0.01
7292,0.14
5036,0.41
5644,0.55
6856,0.52
5428,0.12
5027,0.09
4989,0.75
5221,0.12
6402,0.13
5346,0.52
6748,0.42
